model,num_files,rhythm_diversity,repetition_ratio,pitch_histogram_similarity
markov_baseline,5,0.5912440709469827,0.0,0.6268054790118704
random_baseline,5,0.023466337801831282,0.0,0.8896027572856194
task1_ae,5,0.8862026862026863,0.0,0.4476196585560417
task2_vae,8,0.08600146198830409,0.0,0.7964992747534789
task3_transformer,10,0.39338862678945424,0.03578042328042329,0.5416482546284357
task4_rlhf_after,10,0.358298482820808,0.06282803403493059,0.5301696173438699
task4_rlhf_before,10,0.39338862678945424,0.03578042328042329,0.5416482546284357
